question_id,db_id,difficulty,question_type,category,subtype,reason
5,california_schools,simple,aggregate,Schema linking,wrong column,school_name misattributed to schools alias s; belongs to the already-joined satscores (ss); also Virtual value wrong ('Yes' vs 'F')
11,california_schools,simple,retrieval,JOIN errors,missing table,omits the schools join needed for the 'School is not NULL' filter; also drops the '+ Enrollment (Ages 5-17)' term
12,california_schools,moderate,aggregate,Schema linking,wrong column,divides NumGE1500 by enrollment_grade_12 instead of number_test_takers in the WHERE ratio; also swaps SELECT to a precomputed percent column and drops rtype/enrollment filters
17,california_schools,simple,retrieval,JOIN errors,missing table,charter_number lives on schools; predicted queries satscores alone
23,california_schools,moderate,retrieval,Predicate error,Predicate semantic error,adds ABS() around the enrollment difference that gold doesn't have
24,california_schools,moderate,retrieval,Predicate error,Predicate semantic error,missing rtype='S' filter
25,california_schools,moderate,aggregate,Nesting problem,HAVING clause mismatch,"gold's per-group HAVING AVG(AvgScrMath)>400 (with GROUP BY sname,FundingType) collapsed to a flat per-row WHERE filter with no GROUP BY"
26,california_schools,moderate,retrieval,Schema linking,wrong column,uses percent_eligible_free_or_reduced_price_meal_ages_5_17 (a percentage) where gold compares the raw FRPM Count Ages 5-17; also instruction_level_name substituted for school_type
27,california_schools,moderate,retrieval,Schema linking,wrong column,school_name misattributed to schools alias; belongs to the already-joined satscores
28,california_schools,challenging,aggregate,Predicate error,Filter value error,'Locally Funded' (case) vs gold's 'Locally funded'
31,california_schools,moderate,retrieval,JOIN errors,missing table,missing join to schools for the 'School is not null' filter
32,california_schools,moderate,retrieval,JOIN errors,missing table,school_ownership_code (SOC) lives on schools; predicted queries frpm alone
36,california_schools,challenging,retrieval,Predicate error,Predicate semantic error,missing rtype='S' filter
37,california_schools,moderate,retrieval,Schema linking,wrong table,substitutes frpm's percent_eligible_free_or_reduced_price_meal_k12 subquery for gold's satscores NumGE1500/NumTstTakr MIN-ratio subquery
40,california_schools,moderate,retrieval,Predicate error,Predicate semantic error,drops rtype='S' and AvgScrRead IS NOT NULL filters; adds a redundant County='Fresno' condition
41,california_schools,simple,retrieval,Nesting problem,wrong sub-query,replaces gold's RANK() OVER (PARTITION BY county ORDER BY AvgScrRead DESC) window function with a GROUP BY/IN approximation; also wrong Virtual value
46,california_schools,simple,retrieval,Schema linking,wrong column,filters educational_option_name='Special' instead of gold's district_ownership_code=31; also adds an unneeded GROUP BY/MAX aggregation
47,california_schools,moderate,aggregate,Invalid SQL,Other execution error,AVG(COUNT(*)) nested aggregate misuse
48,california_schools,moderate,aggregate,Schema linking,wrong table,queries frpm (district_type/county_name) instead of schools (DOC/DOCType/StatusType/County); also collapses gold's two independent COUNT(*) subqueries into one CASE-based aggregate
50,california_schools,simple,retrieval,Predicate error,Predicate semantic error,drops rtype='S' and AvgScrMath IS NOT NULL filters
62,california_schools,challenging,aggregate,Other,wrong aggregate function or scaling,uses precomputed percent_eligible_free_k12 without gold's *100 scaling on the Free Meal Count/Enrollment ratio
72,california_schools,moderate,retrieval,JOIN errors,missing table,EdOpsCode/City live on schools; predicted queries frpm alone with wrong county_name/school_name substitutes
77,california_schools,moderate,retrieval,Schema linking,wrong column,grade_span_offered used instead of grade_span_served for the GSserved='K-9' filter
79,california_schools,moderate,aggregate,Schema linking,wrong column,county_name (belongs to frpm/satscores) used directly on schools with no join present
82,california_schools,simple,retrieval,Predicate error,Predicate semantic error,"missing ABS() around longitude, reversing which extreme is picked"
83,california_schools,challenging,aggregate,JOIN errors,missing table,NSLP Provision Status lives on frpm; predicted queries schools alone substituting educational_option_name
85,california_schools,moderate,retrieval,Schema linking,wrong column,precomputed percent_eligible_free_k12 substituted for gold's manually-scaled Free Meal Count K12*100/Enrollment K12 ratio; WHERE filter itself matches gold exactly
87,california_schools,challenging,retrieval,Schema linking,wrong column,replaces SOC=62 (school_ownership_code) with instruction_level_name OR conditions; also drops DOC=54 filter and uses wrong City value
89,financial,moderate,aggregate,JOIN errors,extra table,joins in `trans` (not needed) and filters on trans.type='issuance' instead of gold's account.frequency='POPLATEK PO OBRATU'; also 'East Bohemia' case differs
93,financial,moderate,aggregate,Predicate error,Filter value error,'North Bohemia' (case) doesn't match gold's stored 'north Bohemia'
94,financial,challenging,aggregate,Nesting problem,wrong sub-query,replaces gold's independent scalar subquery (MAX(A11)-MIN(A11) over ALL districts) with an aggregate MAX/MIN over districts of only female clients; also fails to first narrow to the single oldest female client before joining
95,financial,moderate,aggregate,Nesting problem,wrong sub-query,omits gold's subquery pinning to the single (youngest) client via ORDER BY birth_date DESC LIMIT 1; instead sorts the full joined set by birth_date ASC (wrong direction) with average_salary as a tiebreak
98,financial,moderate,retrieval,Predicate error,Predicate semantic error,adds an extra l.status='A' condition gold doesn't have; also translates frequency to English 'weekly' instead of the stored Czech value 'POPLATEK TYDNE'
99,financial,moderate,retrieval,GROUP BY errors,wrong column,"introduces GROUP BY account_id and drops the LIMIT 1, returning all qualifying accounts instead of the single top loan amount"
112,financial,simple,retrieval,JOIN errors,missing table,"district_name lives on district, which predicted never joins (aliases disp as 'd' and mistakenly references district_name through it)"
115,financial,challenging,aggregate,JOIN errors,extra table,"joins disp+account (unneeded), which can multiply client rows in the percentage calculation; also drops the GROUP BY A4/ORDER BY A4 DESC LIMIT 1 logic, computing over all South Bohemia clients at once"
116,financial,challenging,aggregate,Other,wrong aggregate function or scaling,"computes (MAX(balance)-MIN(balance))/MIN(balance) over the whole date range instead of gold's SUM(IIF(date=exact_date,balance,0)) at two specific dates; also adds unneeded client/disp joins"
118,financial,moderate,aggregate,Predicate error,Filter value error,status='A' instead of gold's status='C'
125,financial,challenging,retrieval,Predicate error,Predicate semantic error,computes a plain difference (rate_1996 - rate_1995) instead of gold's percentage-change formula; also wrong status value ('A' vs 'D') and substitutes loan.amount>0 for district.A12 IS NOT NULL/A12>0
129,financial,moderate,retrieval,GROUP BY errors,wrong column,"introduces GROUP BY district_name + SUM(amount) ranking (highest total amount) instead of gold's simple ORDER BY per-transaction ranking, no aggregation; also translates type to English 'withdrawal' instead of the stored code 'VYDAJ'"
136,financial,moderate,aggregate,Predicate error,Predicate semantic error,adds an extra status='A' condition gold doesn't have; also uses 'M' instead of the actual stored value 'POPLATEK MESICNE'
137,financial,moderate,aggregate,JOIN errors,missing table,"entirely omits the loan join and status IN ('C','D') filter, counting all accounts in district 1 instead of just those with a completed/defaulted loan"
145,financial,moderate,aggregate,JOIN errors,wrong column (key),"joins card via a nonexistent c.account_id; card only has disp_id, requiring a join through disp to reach account_id; also substitutes operation='VYBER KARTOU' with card.type='credit'"
149,financial,challenging,retrieval,Schema linking,wrong table,replaces disp.type entirely with an unrelated 'account NOT IN loan' condition and selects statement_frequency/average_salary instead of disp.type
152,financial,moderate,aggregate,Schema linking,wrong column,filters number_inhabitants>4000 instead of gold's A15 (number_crimes_1995)>4000; also replaces gold's DISTINCT-subquery join with a raw JOIN that could duplicate district rows
159,financial,simple,retrieval,Predicate error,Predicate semantic error,adds an extra t.type='withdrawal' condition not in gold; uses transaction_operation='cash' instead of the stored Czech code 'VYBER'; also selects only 3 columns instead of all trans.* columns
169,financial,challenging,aggregate,Predicate error,Predicate semantic error,"drops the disp.type='OWNER' filter entirely, including all disponents not just account owners"
173,financial,challenging,aggregate,Schema linking,wrong table,"queries `trans` (realized transactions) instead of gold's `""order""` (standing orders) table; also drops the k_symbol/SUM/GROUP BY subquery structure"
186,financial,moderate,aggregate,Predicate error,Predicate semantic error,"swaps which condition is the WHERE-filter vs. the CASE-numerator - filters WHERE gender='M' and counts weekly-frequency within that population, inverting gold's structure"
192,financial,moderate,aggregate,Predicate error,Filter value error,"status='A' instead of IN ('C','D'); statement_frequency='A' (an invalid value) instead of 'POPLATEK PO OBRATU'"
194,financial,moderate,retrieval,JOIN errors,wrong column (key),joins card via a nonexistent ca.account_id (card only has disp_id); also 'High level' is not a valid card type value (gold's actual value is 'gold')
197,toxicology,moderate,aggregate,Predicate error,Predicate semantic error,restructures gold's molecule-level oxygen-count/single-bond-molecule CTEs into an atom-bond-connected join that only counts oxygen atoms directly involved in a single bond; also uses 'O'/'single' instead of 'o'/'-'
198,toxicology,challenging,aggregate,Invalid SQL,Other execution error,AVG(COUNT(bond_id)) nested aggregate misuse
200,toxicology,simple,retrieval,Schema linking,wrong column,selects molecule.label instead of gold's molecule_id; also uses 'triple'/'%carcinogenic%' instead of the stored codes '#'/'+'
201,toxicology,moderate,aggregate,Predicate error,Filter value error,bond_type='double' instead of gold's '='
206,toxicology,challenging,retrieval,Schema linking,wrong table,substitutes molecule.label='TR004_8_9' for gold's connected.bond_id='TR004_8_9' - connected is dropped entirely
207,toxicology,challenging,retrieval,Predicate error,Filter value error,bond_type='double' instead of gold's '=' - structure otherwise matches gold exactly
208,toxicology,moderate,aggregate,Predicate error,Filter value error,element='H' instead of gold's 'h' - structure otherwise matches gold exactly
212,toxicology,challenging,aggregate,Nesting problem,HAVING clause mismatch,collapses gold's GROUP BY element HAVING COUNT(*) = (SELECT MIN(cnt)...) tie-preserving structure to ORDER BY COUNT(*) ASC LIMIT 1
213,toxicology,moderate,retrieval,Schema linking,wrong column,treats 'TR004_8'/'TR004_20' as values to look up via atom.element instead of using connected.atom_id/atom_id2 directly; also drops the symmetric OR condition
215,toxicology,challenging,aggregate,Predicate error,Predicate semantic error,both iodine_count and sulfur_count use the identical COUNT(*) expression instead of gold's element-specific COUNT(DISTINCT CASE...); also uses 'I'/'S'/'single' instead of 'i'/'s'/'-'
218,toxicology,challenging,aggregate,Predicate error,Predicate semantic error,computes the percentage over individual atom rows instead of gold's DISTINCT molecule_id-level check of whether a molecule contains any fluorine atom; also 'carcinogenic'/'F' instead of '+'/'f'
219,toxicology,challenging,aggregate,Predicate error,Predicate semantic error,"inverts which condition is the WHERE-filter vs the CASE-measured condition - filters WHERE label='carcinogenic' and counts triple-bond rows, instead of gold's WHERE bond_type='#' restricting to triple-bond molecules"
220,toxicology,challenging,retrieval,Schema linking,wrong column,filters molecule.label='TR000' (via an unnecessary join) instead of gold's atom.molecule_id='TR000' directly
226,toxicology,moderate,aggregate,Schema linking,wrong column,filters molecule.label='TR008' instead of gold's bond.molecule_id='TR008'; also 'double' instead of '='
227,toxicology,simple,aggregate,Predicate error,Filter value error,label='carcinogenic' instead of gold's '+'
228,toxicology,moderate,aggregate,Schema linking,wrong column,filters molecule.label='TR206' instead of gold's atom.molecule_id='TR206'; also element='H' instead of 'h'
230,toxicology,challenging,retrieval,Schema linking,wrong column,filters molecule.label='TR060' instead of gold's molecule_id='TR060'
231,toxicology,challenging,aggregate,Schema linking,wrong column,filters molecule.label='TR010' instead of gold's bond.molecule_id='TR010'
232,toxicology,moderate,retrieval,Schema linking,wrong column,"selects molecule.label instead of gold's molecule_id; also 'single' instead of '-', and NOT LIKE '%carcinogenic%' instead of label='-'"
234,toxicology,moderate,aggregate,Schema linking,wrong column,"splits the compound atom_id 'TR009_12' into molecule.label='TR009' + numeric connected.atom_id=12, instead of directly matching connected.atom_id='TR009_12' as a string"
236,toxicology,moderate,retrieval,Schema linking,wrong column,filters molecule.label='TR001_6_9' instead of gold's connected.bond_id='TR001_6_9'
239,toxicology,simple,aggregate,Predicate error,Predicate semantic error,"uses atom_id=19 (a bare integer exact match) instead of gold's SUBSTR(atom_id,-2)='19' (a string suffix match on the compound identifier)"
240,toxicology,challenging,retrieval,Schema linking,wrong column,filters molecule.label='TR004' instead of gold's atom.molecule_id='TR004'
242,toxicology,moderate,retrieval,Schema linking,wrong column,"selects molecule.label instead of gold's molecule_id; also treats atom_id as numeric BETWEEN instead of gold's SUBSTR string-suffix BETWEEN, and drops the label='+' filter"
243,toxicology,moderate,retrieval,Schema linking,wrong column,joins connected via c.molecule_id (connected has no molecule_id column) when molecule_id lives on the already-joined bond table - should have joined via bond_id instead; also uses full element names instead of 'p'/'n'
244,toxicology,moderate,aggregate,Nesting problem,wrong sub-query,"replaces gold's WITH sub CTE + tie-preserving cnt=(SELECT MAX(cnt)...) with ORDER BY COUNT(*) DESC LIMIT 1, dropping ties; also 'double' instead of '='"
245,toxicology,moderate,aggregate,Predicate error,Filter value error,element='iodine' instead of the stored abbreviated code 'i'
247,toxicology,challenging,retrieval,Predicate error,Predicate semantic error,adds an extra 'atom_id NOT IN (SELECT atom_id2 FROM connected)' condition gold doesn't have
248,toxicology,simple,retrieval,Schema linking,wrong column,substitutes molecule.label='TR041' for bond.molecule_id='TR041' (molecule_id already lives on the joined bond table); also 'triple' instead of '#'
249,toxicology,challenging,retrieval,Schema linking,wrong table,substitutes molecule.label='TR144_8_19' (via molecule join) for gold's connected.bond_id='TR144_8_19' - connected is dropped entirely
253,toxicology,challenging,retrieval,Predicate error,Filter value error,bond_type='triple' instead of gold's '#' - structure otherwise matches gold exactly
255,toxicology,moderate,aggregate,JOIN errors,missing table,"entirely omits the molecule join and the label='+' numerator condition, instead computing the overall percentage of bond_type='single' among ALL bonds"
260,toxicology,moderate,aggregate,Predicate error,Predicate semantic error,restructures gold's molecule-level 'contains a P/Br atom somewhere' existence check into a per-atom filter; also uses 'phosphorus'/'bromine'/'triple' instead of 'p'/'br'/'#'
